DFS,27,1,2025-07-27T19:53:35.106788900
RECURSIVO,8,0,2025-07-27T19:53:35.106788900
BFS,8,1,2025-07-27T19:53:35.107893500
RECURSIVO COMPLETO,26,1,2025-07-27T19:53:35.107893500
RECURSIVO COMPLETO BT,26,0,2025-07-27T19:53:35.106788900
